scenario_set,role,rel_path,sheet,n_rows,n_cols,columns,active_scenario_flag,evidence_class,hash
ME IRP 2024,master,scenarios/ME IRP 2024/scenarios_to_run.xlsx,scenario_definition,49,24,wildcard|run_scenario|simulation_years|regions|resource_area|line_expansion|options|fixed_conventional|fixed_renewables|fixed_storage|extendable_techs|extendable_max_total|extendable_min_total|extendable_max_annual|extendable_min_annual|operational_limits|outage_profiles|annual_availability|extendable_parameters|co2_constraints|min_station_hourly|load_trajectory|reserve_margin|capacity_credits,,baseline,d6bfde395d554577d432df66596d9f40822d7bd7715928d50199b3b6b30b3345
ME IRP 2024,annual_load,scenarios/ME IRP 2024/sub_scenarios/annual_load.xlsx,annual_load,3,35,scenario|unit|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|Source,,baseline,1add860fee33dabea758b39e31c4643bbea8e9d3127bcea52280fa687581b809
ME IRP 2024,carbon_constraints,scenarios/ME IRP 2024/sub_scenarios/carbon_constraints.xlsx,annual_carbon_constraint,3,36,scenario|unit|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050,,expansion,122cbf3d0cc290dcf5514beaee1b49e8af2f0cf2c2eadc7f93f7f168d8bcb774
ME IRP 2024,carbon_constraints,scenarios/ME IRP 2024/sub_scenarios/carbon_constraints.xlsx,fuel_emissions_intensity,37,29,|Carrier|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|units,,expansion,122cbf3d0cc290dcf5514beaee1b49e8af2f0cf2c2eadc7f93f7f168d8bcb774
ME IRP 2024,carbon_constraints,scenarios/ME IRP 2024/sub_scenarios/carbon_constraints.xlsx,carbon_tax,5,28,|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|units,,expansion,122cbf3d0cc290dcf5514beaee1b49e8af2f0cf2c2eadc7f93f7f168d8bcb774
ME IRP 2024,fixed_technologies,scenarios/ME IRP 2024/sub_scenarios/fixed_technologies.xlsx,conventional,376,26,Scenario|Power Station Name|Grouping|Carrier|Unit size (MW)|Number units|Capacity (MW)|Commissioning Date|Decommissioning Date|Heat Rate (GJ/MWh)|CO2 Emissions (kgCO2/MWh)|Fuel Price (R/GJ)|Max Ramp Up (%/h)|Max Ramp Down (%/h)|Max Ramp Start Up (%/h)|Max Ramp Shut Down (%/h)|Min Stable Level (%)|Min Up Time (h)|Min Down Time (h)|Variable O&M Cost (R/MWh)|Fixed O&M Cost (R/kW/yr)|Unit Start Up Cost (R)|Start Up Cost (R)|Shut Down Cost (R)|GPS Latitude|GPS Longitude,,baseline,6ef25b8edb47d225ee10c4149bf4b49f0bf5708fce27c1b22996d050e72701d4
ME IRP 2024,fixed_technologies,scenarios/ME IRP 2024/sub_scenarios/fixed_technologies.xlsx,renewables,381,16,Scenario|Power Station Name|Model Key|Grouping|Carrier|Capacity (MW)|Variable O&M Cost (R/MWh)|Fixed O&M Cost (R/kW/yr)|PV Mounting|PV DC-AC Ratio|Wind Hub Height|CSP Storage Hours|Commissioning Date|Decommissioning Date|GPS Latitude|GPS Longitude,,baseline,6ef25b8edb47d225ee10c4149bf4b49f0bf5708fce27c1b22996d050e72701d4
ME IRP 2024,fixed_technologies,scenarios/ME IRP 2024/sub_scenarios/fixed_technologies.xlsx,storage,34,16,Scenario|Power Station Name|Grouping|Carrier|Capacity (MW)|Unit size (MW)|Number units|Commissioning Date|Decommissioning Date|Variable O&M Cost (R/MWh)|Fixed O&M Cost (R/kW/yr)|Round Trip Efficiency (%)|Max Storage (GWh)|Max Storage (hours)|GPS Latitude|GPS Longitude,,baseline,6ef25b8edb47d225ee10c4149bf4b49f0bf5708fce27c1b22996d050e72701d4
ME IRP 2024,extendable_technologies,scenarios/ME IRP 2024/sub_scenarios/extendable_technologies.xlsx,active,21,7,Component|Carrier|Category|IRP|BASE_NO_FUEL_SWITCH|BASE_FUEL_SWITCH|AMBITIONS,,expansion,9aa90089d7f1d53602373ab2e0d5124277f2022af01efbfed6d89e91504310bf
ME IRP 2024,extendable_technologies,scenarios/ME IRP 2024/sub_scenarios/extendable_technologies.xlsx,parameter_mapping,368,22,scenario|carrier|FOM|fuel|investment|VOM|lifetime|max_hours|heat_rate|efficiency|build_phase_in|co2_emissions|ramp_limit_up|ramp_limit_down|ramp_limit_start_up|ramp_limit_shut_down|min_stable_level|min_up_time|min_down_time|start_up_cost|shut_down_cost|discount_rate,,expansion,9aa90089d7f1d53602373ab2e0d5124277f2022af01efbfed6d89e91504310bf
ME IRP 2024,extendable_technologies,scenarios/ME IRP 2024/sub_scenarios/extendable_technologies.xlsx,parameters,455,37,scenario|carrier|parameter|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|unit|source,,expansion,9aa90089d7f1d53602373ab2e0d5124277f2022af01efbfed6d89e91504310bf
ME IRP 2024,extendable_technologies,scenarios/ME IRP 2024/sub_scenarios/extendable_technologies.xlsx,max_total_installed,286,37,Scenario|Supply Region|Location|Component|Carrier|Category|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050,,expansion,9aa90089d7f1d53602373ab2e0d5124277f2022af01efbfed6d89e91504310bf
ME IRP 2024,extendable_technologies,scenarios/ME IRP 2024/sub_scenarios/extendable_technologies.xlsx,min_total_installed,22,37,Scenario|Supply Region|Location|Component|Carrier|Category|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050,,expansion,9aa90089d7f1d53602373ab2e0d5124277f2022af01efbfed6d89e91504310bf
ME IRP 2024,extendable_technologies,scenarios/ME IRP 2024/sub_scenarios/extendable_technologies.xlsx,max_annual_installed,51,37,Scenario|Supply Region|Location|Component|Carrier|Category|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050,,expansion,9aa90089d7f1d53602373ab2e0d5124277f2022af01efbfed6d89e91504310bf
ME IRP 2024,extendable_technologies,scenarios/ME IRP 2024/sub_scenarios/extendable_technologies.xlsx,min_annual_installed,2,37,Scenario|Supply Region|Location|Component|Carrier|Category|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050,,expansion,9aa90089d7f1d53602373ab2e0d5124277f2022af01efbfed6d89e91504310bf
ME IRP 2024,operational_constraints,scenarios/ME IRP 2024/sub_scenarios/operational_constraints.xlsx,operational_constraints,104,40,|bus|tech_fuel|capacity_factor|period|incl_pu|limit|apply_to|units|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050,,validation,9ac891c328d214d7683c0ec2d70277071123a26e77945c39d6064a6150312322
ME IRP 2024,plant_availability,scenarios/ME IRP 2024/sub_scenarios/plant_availability.xlsx,annual_availability,213,36,scenario|parameter|unit|2018|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050,,validation,a8cc4edb9f5cc4d3374d9db155199acb450a12f4811cac12cf659b05943e8b70
ME IRP 2024,plant_availability,scenarios/ME IRP 2024/sub_scenarios/plant_availability.xlsx,outage_profiles,112,45,|||fixed_generators||||||||||||||||||||||||||||||||extendable_generators|||||||||,,validation,a8cc4edb9f5cc4d3374d9db155199acb450a12f4811cac12cf659b05943e8b70
ME IRP 2024,plant_availability,scenarios/ME IRP 2024/sub_scenarios/plant_availability.xlsx,min_station_hrly_cap_fact,3,34,scenario|Carrier|unit|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050,,validation,a8cc4edb9f5cc4d3374d9db155199acb450a12f4811cac12cf659b05943e8b70
ME IRP 2024,reserve_margin,scenarios/ME IRP 2024/sub_scenarios/reserve_margin.xlsx,reserve_margin,9,37,scenario|parameter|unit|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050,,validation,744a7df5ade6dd771b67195263df396254b57ce715bba406a6888433f80a84ea
ME IRP 2024,reserve_margin,scenarios/ME IRP 2024/sub_scenarios/reserve_margin.xlsx,capacity_credits,25,5,technology|BASE1|BASE2|BASE3|BASE4,,validation,744a7df5ade6dd771b67195263df396254b57ce715bba406a6888433f80a84ea
ME IRP 2024,transmission_expansion,scenarios/ME IRP 2024/sub_scenarios/transmission_expansion.xlsx,Sheet1,17,36,Scenario|bus0|bus1|voltage (kV)|length (km)|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050,,expansion,dcd488e078a7f18a703fd6061ac1f8ad46785339495bc29ad0a8d6303ca1d445
