assumption_area,baseline_2023_value,reliability_expansion_value,carry_forward_status,source_or_decision,open_question,notes
accepted_basis,Module 14c No VRE and No annual OCGT cap calibrated 2023 network,Use as reference basis after stripping dated overlays,carry_forward,DEC-003; 4-work/expansion-handoff-decisions.md,,No annual OCGT cap means no Module 14 annual cap and not no OCGT constraints at all
vre_correction_factors,2023 onwind 1.58 and solar 1.40 diagnostic factors,Do not apply future VRE correction factors without future source,strip,4-work/expansion-handoff-decisions.md,,2023 calibration profile bias is not portable
coal_eaf_2023,48.5 percent coal EAF target used for calibration,Future coal EAF unresolved with provisional 80 percent working target,defer,4-work/expansion-handoff-decisions.md,future coal EAF source needed,Do not carry 2023 EAF into expansion
coal_outage_profiles_2023,Weekly 2023 coal outage profiles,Regenerate future availability from future assumption source,strip,4-work/expansion-handoff-decisions.md,,2023 hourly EAF file is baseline evidence only
nuclear_p_max_pu,2023 nuclear p_max_pu 0.5,100 percent availability for first expansion implementation,replace,4-work/expansion-handoff-decisions.md,,Annual nuclear cap also stripped
nuclear_annual_cap,2023 nuclear annual generation cap,No nuclear annual cap in first expansion implementation,strip,4-work/expansion-handoff-decisions.md,,Future source may supersede
low_gas_nuclear_minimum,LOW_GAS nuclear hourly minimum present in source path,Do not carry LOW_GAS nuclear minimum into future scenarios,strip,4-work/expansion-handoff-decisions.md,,Avoid dated calibration constraint
low_gas_ocgt_constraints,LOW_GAS weekly OCGT CF constraints present in source path,Do not carry LOW_GAS OCGT constraints into future scenarios,strip,4-work/expansion-handoff-decisions.md,,Selected basis only removes annual OCGT cap
ocgt_annual_cap,Selected Module 14c basis has no annual OCGT cap,No annual OCGT cap by default,strip,DEC-003; 4-work/expansion-handoff-decisions.md,,Do not reintroduce 2023 observed OCGT output cap
demand_boundary,2023 calibrated Eskom demand boundary,GEGIS 2030 2040 2050 demand via era5_2018,replace,4-work/expansion-handoff-decisions.md,,Use data/ssp2-2.6/{2030 2040 2050}/era5_2018/Africa.nc
import_export_series,2023 import and export exogenous series,Remove from future expansion scenarios,strip,4-work/expansion-handoff-decisions.md,,Future boundary source needed if imports return
load_shedding_target,2023 Eskom load-shedding target used for calibration comparison,No future 2023 load-shedding target,strip,4-work/expansion-handoff-decisions.md,,Future reliability constraints replace historical target
load_shedding_safety_valve,Load shedding enabled as solver safety valve,Keep load shedding enabled as solver safety valve,carry_forward,4-work/expansion-handoff-decisions.md,,Safety valve remains separate from ENS constraints
regional_voll,National CoLS values used for reporting and slack basis,User intent is regional load-shedding generator marginal cost but semantics unresolved,review_required,4-work/expansion-handoff-decisions.md,changing marginal costs changes dispatch economics,Record unresolved not implemented
transmission_expansion,2023 baseline ll c1,Future expansion uses lcopt,replace,4-work/expansion-handoff-decisions.md,,Transmission expansion allowed
generation_expansion,No future generation expansion in solved 2023 validation basis,Solar onshore wind and CSP candidates allowed,replace,4-work/expansion-handoff-decisions.md,,Fossil nuclear hydro and storage are brownfield only
co2_cap,No CO2 cap in accepted basis,No CO2 cap for first implementation,carry_forward,4-work/expansion-handoff-decisions.md,,Can be revisited later
costs,Present local costs include costs.csv costs_2025.csv costs_2030.csv,Cost audit required before final horizon costs,review_required,4-work/expansion-handoff-decisions.md,costs_2040.csv and costs_2050.csv missing,Do not silently rely on incomplete horizon costs
grid_connection_costs,2023 calibration repair disabled or bypassed connection costs,Restore or replace grid-connection costs for renewable and CSP expansion,replace,4-work/expansion-handoff-decisions.md,source and implementation still needed,Required before final investment runs
weather_scope,2023 ERA5 cutout accepted for fixed validation,Use 2023 for near-term smoke and thesis presentation; Scenario 4 multi-weather later,defer,4-work/expansion-handoff-decisions.md,Scenario 4 cutouts beyond 2023 missing locally,Scenario 4 default remains 2019 through 2024
observation_adapter,No pypsa-earth-owned observation production,External adapter provides GeoParquet; synthetic dry-run file allowed,missing,6-codebases/Plans/Reliability Plan/07_implementation_handoff.md,external thesis input still required,pypsa-earth consumes but does not produce thesis observation input
retirement_policy,Official 2023 fleet identity locked,Apply horizon-specific retirement logic with IRP 2023 canonical source pending,defer,4-work/expansion-handoff-decisions.md,local IRP 2023 source file missing,pypsa-rsa evidence is corroborating only
future_asset_policy,Future assets excluded from 2023 baseline,Use policy classes fixed_build candidate excluded or scenario_dependent,review_required,4-work/expansion-handoff-decisions.md,source review needed for project-specific fixed builds,Redstone excluded unless later reclassified
coal_unit_commitment,Coal-only linearized UC used in baseline path,Coal realism desired but LP vs MILP treatment unresolved,review_required,4-work/expansion-handoff-decisions.md,MILP affects solve tractability and dual interpretation,Plan rewrite must decide treatment
