source_path,tracked_or_external,hash,sheet_or_layer,row_count,port_policy,owning_module,baseline_use,expansion_use,notes
README.md,tracked,ee1aac0bfc5a53f5c857e4340aaab0b661faee65c0b79dcae2e45bf90a7c05be,,-1,audit_only,04,audit_only,audit_only,PyPSA-RSA repo README at pinned commit
config.yaml,tracked,5607ebb37c915d18e6023992dcc70a621a1d88bb9639bf7a8c9fbd7891257c2b,,-1,validation_reference,04,audit_only,audit_only,PyPSA-RSA Snakemake config; reference for grid/load options
Snakefile,tracked,5aa1ebf99ad9801fee76ffea290979ad14eade3ea105b413434472846c8c1670,,-1,audit_only,04,audit_only,audit_only,PyPSA-RSA Snakefile
scripts/add_electricity.py,tracked,9a51c546e7dc95be2606545ced138b3f082214e4b1fbd0c4fa001a3d23614044,,-1,validation_reference,07,validation_reference,audit_only,Cost/fuel/heat-rate transformation reference
scripts/build_topology.py,tracked,84fa438d3359ba9280ce939482fed8d16da5eaccd60d7f680abc717107f52b4a,,-1,validation_reference,09,audit_only,audit_only,Supply-region topology reference
scripts/base_network.py,tracked,f311415cd20f9947c67b58e983aea8f569919c5cd9063dcc4f46552c221f3458,,-1,validation_reference,09,audit_only,audit_only,Base network construction reference
scripts/_helpers.py,tracked,87d1f7c7a7a145840bd08c0906d62a637afb4768268cbe2f24d881ac1ed405de,,-1,audit_only,04,audit_only,audit_only,Shared helpers
scripts/custom_constraints.py,tracked,736fb257fe41d1ec07074bf2438d4f5d4ec13e6d4f8d1a6e97fa3bebab5fb6ad,,-1,audit_only,13,audit_only,audit_only,Custom constraint examples (expansion handoff)
scripts/prepare_and_solve_network.py,tracked,5f945522795e94bb9c74bac01c287a0a221aeadb3c76ffc52e326d31064ac2a1,,-1,audit_only,13,audit_only,audit_only,Workflow constraint logic; expansion handoff candidate
envs/environment.yaml,tracked,ef50fa3eea8c03b5907b2375aac43abc7bb8463729669672f4ab694e543cc79c,,-1,audit_only,04,audit_only,audit_only,PyPSA-RSA conda env; version reference
data/eskom_data.csv,tracked,86d7c7f7e4afdedcea4f81b3836610370333811d5d42390266e16acea0a6647a,,50401,validation_reference,02,validation_reference,audit_only,Validation reference; not first-choice 2023 input
data/eskom_pu_profiles.csv,tracked,f29faf9bb1cee60c91687c08bdc2fea4d730787bfca4497ff7e41268dc71623b,,39361,validation_reference,03,validation_reference,audit_only,Profile reference; consumed by Module 03 Gate B
data/bundle/SystemEnergy2009_22.csv,external,2342f7147cb2be1ea9455918195472594e339f66720f8245bf8f1982cc0fbdf4,,100056,validation_reference,06,validation_reference,audit_only,Historical system energy series
data/bundle/Supply area normalised power feed-in for Wind.xlsx,external,99b75ff9b16f4249f9d2d84bb3fef828156226a616b0465ebb236bc391766f36,Background information;Wind power profiles;Additional Information;Sheet1,70271,validation_reference,03,validation_reference,audit_only,PyPSA-RSA wind reference profiles by supply area
data/bundle/Supply area normalised power feed-in for PV.xlsx,external,9ef26df47e8f9ca4d65db99b578ac374ce11684a0c3ce5a51a8dd6d451333691,Background information;PV profiles;Additional Information;Sheet1,35225,validation_reference,03,validation_reference,audit_only,PyPSA-RSA PV reference profiles by supply area
data/turbine_power_curves.csv,tracked,022569d41f5b97a40bdea7b20ed9798551f8c5706177480c85f28a2f6b087441,,36,audit_only,03,audit_only,audit_only,Turbine power curve library
data/ambitions_validation.xlsx,tracked,86e3660441117b03102c993edbc30fe31ed69598bb57fe58d56dec013bd1081b,energy_CSIR_LC_SMOOTH;capacity_CSIR_LC_SMOOTH;energy_CSIR_LC_UNC;capacity_CSIR_LC_UNC;energy_CSIR_2_2Gt_UNC;capacity_CSIR_2_2Gt_UNC;energy_CSIR_2Gt_UNC;capacity_CSIR_2Gt_UNC,248,audit_only,12,audit_only,audit_only,Ambition/validation workbook
data/bundle/renewable_profiles_updated.nc,external,8628ee29b646ea550e751582ceecf31e40665a94c558c75e979f6d6fe63769a2,,-1,validation_reference,03,validation_reference,audit_only,Aggregated renewable profile NetCDF
scenarios/ME IRP 2024/scenarios_to_run.xlsx,tracked,d6bfde395d554577d432df66596d9f40822d7bd7715928d50199b3b6b30b3345,scenario_definition,48,validation_reference,08,audit_only,expansion_input_after_review,ME IRP 2024 master scenario workbook
scenarios/ME IRP 2024/sub_scenarios/annual_load.xlsx,tracked,1add860fee33dabea758b39e31c4643bbea8e9d3127bcea52280fa687581b809,annual_load,2,validation_reference,06,audit_only,expansion_input_after_review,ME IRP annual load
scenarios/ME IRP 2024/sub_scenarios/carbon_constraints.xlsx,tracked,122cbf3d0cc290dcf5514beaee1b49e8af2f0cf2c2eadc7f93f7f168d8bcb774,annual_carbon_constraint;fuel_emissions_intensity;carbon_tax,42,validation_reference,07,audit_only,expansion_input_after_review,ME IRP carbon constraints
scenarios/ME IRP 2024/sub_scenarios/fixed_technologies.xlsx,tracked,6ef25b8edb47d225ee10c4149bf4b49f0bf5708fce27c1b22996d050e72701d4,conventional;renewables;storage,788,validation_reference,08,baseline_input_after_review,expansion_input_after_review,ME IRP fixed technologies — fleet candidates
scenarios/ME IRP 2024/sub_scenarios/extendable_technologies.xlsx,tracked,9aa90089d7f1d53602373ab2e0d5124277f2022af01efbfed6d89e91504310bf,active;parameter_mapping;parameters;max_total_installed;min_total_installed;max_annual_installed;min_annual_installed,1198,validation_reference,13,audit_only,expansion_input_after_review,ME IRP extendable techs
scenarios/ME IRP 2024/sub_scenarios/operational_constraints.xlsx,tracked,9ac891c328d214d7683c0ec2d70277071123a26e77945c39d6064a6150312322,operational_constraints,103,validation_reference,11,validation_reference,expansion_input_after_review,Operational constraints
scenarios/ME IRP 2024/sub_scenarios/plant_availability.xlsx,tracked,a8cc4edb9f5cc4d3374d9db155199acb450a12f4811cac12cf659b05943e8b70,annual_availability;outage_profiles;min_station_hrly_cap_fact,325,validation_reference,11,validation_reference,expansion_input_after_review,Plant availability
scenarios/ME IRP 2024/sub_scenarios/reserve_margin.xlsx,tracked,744a7df5ade6dd771b67195263df396254b57ce715bba406a6888433f80a84ea,reserve_margin;capacity_credits,32,validation_reference,11,validation_reference,expansion_input_after_review,Reserve margin
