artifact_name,path,hash,owner,accepted_validation_stage,baseline_only_or_future_scenario_input,receiving_contract,notes
DEC-003 accepted Module 14c network,results/za_2023_fixed_validation/networks/elec_s_34_ec_lc1_NoCO2-1H-EAF-UC-OPC-LOW-GAS-OFFICIAL-FLEET-MODULE14C-COAL485-NUCLEAR50-NO-VRE-NO-OCGT-CAP.nc,4ac3725a0617670384e16a8fc5dfe5c01f2bdbebe39cd112ece97014d23d982b,ZA 10/12,DEC-003 accepted,both,07_implementation_handoff.md repo layout and Snakemake input,Accepted 2023 baseline reference and expansion basis after dated overlays are stripped
professionalized no VRE no annual OCGT cap network,results/za_2023_fixed_validation/networks/elec_s_34_ec_lc1_NoCO2-1H-EAF-CONFIG-coal485_nuclear50_no_vre_no_ocgt_cap.nc,e0a8277cd4ec38ddc1d5865b61ecaa29c8d5f71a3f5cb0564b8fd6f7930a46b7,ZA 10/12,reproduction verified,both,07_implementation_handoff.md repo layout and Snakemake input,Supplementary professionalized output corresponding to selected basis
no VRE no annual OCGT cap scenario overlay,configs/za/scenarios/za_2023_coal485_nuclear50_no_vre_no_ocgt_cap.yaml,caadf160afd1050f14ca9de7764660283e8801d2b3f4c6a1b6a4b6a119eafc84,ZA 10/12,reproduction verified,both,07_implementation_handoff.md Snakemake stubs,Solve-only overlay for professionalized scenario reruns
fixed validation base config,configs/za/za_2023_fixed_validation.yaml,f73ced5ebaa22e8edd333c21fcb2e46f6d9ff190aa53753381ce32badcc1ab1e,ZA 01/12,accepted baseline config,both,07_implementation_handoff.md repo layout,Current ZA fixed-validation config
frozen custom powerplants,data/custom_powerplants.csv,224aaa910f69079fa3b469662a505d96c867317be08c45e3f00b81d30bcb910c,ZA 08/13,accepted fleet input,both,07_implementation_handoff.md external input contract,Frozen custom plant fleet referenced only
GEGIS demand 2030 era5_2018,data/ssp2-2.6/2030/era5_2018/Africa.nc,40311fad567a75f50a50e560f8e7ba2dc7a9ad2480f539f164def1bdcf9367fb,ZA 06/13,accepted future demand input,future_scenario_input,07_implementation_handoff.md external input contract,Future demand boundary replaces 2023 Eskom demand
GEGIS demand 2040 era5_2018,data/ssp2-2.6/2040/era5_2018/Africa.nc,031ecae4db52a083cbf9db640f737623b4c9a425afdd7cbe30a9adc5c674764c,ZA 06/13,accepted future demand input,future_scenario_input,07_implementation_handoff.md external input contract,Future demand boundary replaces 2023 Eskom demand
GEGIS demand 2050 era5_2018,data/ssp2-2.6/2050/era5_2018/Africa.nc,37bca180e98383072e66c9d33ce131bd3b45103ec46c1ee52269aaea55040597,ZA 06/13,accepted future demand input,future_scenario_input,07_implementation_handoff.md external input contract,Future demand boundary replaces 2023 Eskom demand
Eskom-34 custom busmap,data/custom_busmap_elec_s_34.csv,c375aaa7402306998978594ff9c3b9b8431e275eff7181a6ba4bb2fecded4fc9,ZA 09/13,accepted spatial input,both,07_implementation_handoff.md external input contract,Eskom-34 reliability spatial interface
Eskom-34 busmap coverage audit,data/za_audit/za_custom_busmap_coverage.csv,6a80dd1da78ba52c2926fdf86e841f786c16147b1383f969f0cacef96b5b1e17,ZA 09/13,accepted spatial evidence,both,07_implementation_handoff.md external input contract,Coverage evidence for custom busmap
ZA grid reconciliation,data/za_audit/za_grid_reconciliation.csv,4a57ab7e6ea09e6224236f46e8b132adb7ba92ddd2223882975aab85b124f5c9,ZA 09/13,accepted grid evidence,both,07_implementation_handoff.md busmap grid input,Grid reconciliation audit
PyPSA-Earth OSM grid summary,data/za_audit/za_pypsa_earth_osm_grid_summary.csv,f14e92e097c770b1f3bd62969a7171f5a934fcbaa866b30f58d429a6de979e66,ZA 09/13,accepted grid evidence,both,07_implementation_handoff.md busmap grid input,OSM grid summary evidence
ZA custom lines audit,data/za_audit/za_custom_lines_audit.csv,ed9ea7ef6114714196cb4bc3801c0fec5a9708c1b8348209af2207745830fe5f,ZA 09/13,accepted transmission evidence,both,07_implementation_handoff.md busmap grid input,Custom line repair evidence
RSA existing 220kV plus lines,data/za_audit/za_rsa_existing_lines_220kv_plus.geojson,4fb775abd47ed5e94bda1de4c4070d38a3f7bbe1f2c44db0a1e09834cbe58eaa,ZA 09/13,accepted transmission evidence,both,07_implementation_handoff.md busmap grid input,Existing line geometry reference
RSA interregional transfer limits,data/za_audit/za_rsa_interregional_transfer_limits.csv,71b7c6ce11f87605e5ca8e320779aceccf99531c5747a87891860980b9213f9c,ZA 09/13,accepted corridor evidence,both,07_implementation_handoff.md busmap grid input,Current corridor and rating audit
