concept_id,concept_name,priority,rebuild_decision,why_it_matters,why_not_copy_old_code,suggested_clean_interface,dependencies,acceptance_criteria
ZA_CLEAN_001,Clean South Africa baseline config,P0_BASELINE_FOUNDATION,Rebuild from current upstream defaults,"Establishes the minimum credible South Africa model entrypoint","Old configs mixed baseline, calibration, policy and experiment settings","Small upstream-style config for ZA short-snapshot smoke tests","Current upstream config schema; Gurobi; minimal input data","Config can launch a short South Africa run and documents each upstream departure"
ZA_CLEAN_002,South Africa external data contract,P0_BASELINE_FOUNDATION,Create from scratch,"Makes private or external data shareable by schema even when files are not in GitHub","Old work assumed local files and implicit schemas","Documentation page with required columns, units, paths and validation checks","Knowledge of Eskom and reference data sources","A teammate can prepare compatible data without reading implementation code"
ZA_CLEAN_003,Eskom demand preprocessing,P0_BASELINE_FOUNDATION,Rebuild as standalone preprocessing,"Demand scale and shape are foundational for realistic South Africa results","Old implementation was tied to exploratory paths and calibration context","CLI or workflow rule that converts raw Eskom demand to model-ready demand input","Eskom demand data contract","Validates timezone, hourly completeness, units, annual energy and peak load"
ZA_CLEAN_004,Eskom generation validation,P0_BASELINE_FOUNDATION,Rebuild as standalone validation utility,"Model credibility depends on comparison to observed generation","Old validation logic should not constrain current API choices","CLI that compares solved network generation to observed Eskom generation by carrier","Solved network; Eskom generation data contract; carrier mapping","Outputs energy totals, bias, MAE, RMSE and residual time series"
ZA_CLEAN_005,Short-snapshot smoke-test workflow,P0_BASELINE_FOUNDATION,Create new run convention,"Full-year runs are too heavy for routine development","Old configs often targeted expensive full-year runs","Documented small snapshot selection and command for quick validation","Baseline config; solver access","Smoke test is reproducible and cheap enough for iterative development"
ZA_CLEAN_006,Scenario naming and run hygiene,P0_BASELINE_FOUNDATION,Create new convention,"Teammates need predictable run names and outputs","Old scenarios accumulated class-project and calibration names","Short naming convention separating baseline, validation and planning","Repository docs and config conventions","Run names reveal country, purpose, period and key option"
ZA_CLEAN_007,Installed-capacity comparison,P1_VALIDATION_AND_REALISM,Rebuild using current upstream schemas,"Capacity by carrier is a first-order calibration diagnostic","Old mapping may be stale and incomplete","Validation utility comparing model capacity to official reference by carrier","Reference capacity data; current powerplant/network schema","Reports model, reference, absolute error and percentage error by carrier"
ZA_CLEAN_008,EAF preprocessing,P1_VALIDATION_AND_REALISM,Rebuild as input preparation only,"South Africa installed capacity differs materially from available capacity","Old code mixed preprocessing and model integration ideas","Tool that converts outage or availability data to hourly availability factors","Eskom availability or outage data contract","Availability factors are bounded, summarized and documented by carrier or unit"
ZA_CLEAN_009,Scenario-local capacity assumptions,P1_VALIDATION_AND_REALISM,Rebuild as local inputs or config overlays,"South Africa-specific capacity limits may improve realism","Old approach touched broad default data","Local capacity assumption file with source, year and carrier mapping","Installed-capacity references; baseline config","Can be enabled or disabled without editing global upstream files"
ZA_CLEAN_010,Currency and exchange-rate handling,P1_VALIDATION_AND_REALISM,Create explicit assumption layer,"South Africa work may need ZAR outputs and local cost interpretation","Old changes risked contaminating global costs","Documented currency settings and conversion assumptions","Cost sources; exchange-rate source; output reporting config","Reports state currency and source year clearly"
ZA_CLEAN_011,South Africa-specific cost sensitivities,P1_VALIDATION_AND_REALISM,Rebuild as scenario-local sensitivities,"Local cost assumptions can materially affect investment results","Wholesale global cost replacement is not reviewable","Optional scenario-local cost override file with provenance","Cost source documentation","Global cost table remains upstream-compatible"
ZA_CLEAN_012,Cluster-count validation,P1_VALIDATION_AND_REALISM,Rebuild only if upstream still lacks it,"Clear failure prevents invalid small-country clustering runs","Need current upstream check before changing core code","Small generic guard in clustering workflow","Current clustering implementation","Excessive cluster request fails with actionable error"
ZA_CLEAN_013,Multiple-load bus handling,P1_VALIDATION_AND_REALISM,Rebuild only if upstream still lacks it,"Load aggregation errors can distort validation and dispatch","Old fix may not match current simplify workflow","Focused upstream-style correction or validation check","Current network simplification logic","Multi-load bus case has stable total load accounting"
ZA_CLEAN_014,CSP cost fallback,P1_VALIDATION_AND_REALISM,Rebuild only if needed,"CSP can be relevant in South Africa and should fail clearly when cost rows differ","Old implementation may reflect stale cost schema","Small fallback or explicit validation for CSP power-block cost","Current costs schema; CSP config","CSP option either runs or fails with clear missing-cost message"
ZA_CLEAN_015,Optional component-index robustness,P1_VALIDATION_AND_REALISM,Rebuild only with current failure cases,"Optional technologies should not fail due to index type assumptions","Old broad patch may be stale","Small fixes tied to reproducible current-upstream failures","Current component schemas","Affected optional technologies pass smoke checks"
ZA_CLEAN_016,Pumped-storage duration validation,P1_VALIDATION_AND_REALISM,Rebuild as narrow validation if useful,"Pumped storage is important in South Africa system realism","Old validation may not match current storage representation","Validation check on storage power and energy duration assumptions","Current storage schema; reference pumped-storage data","Reports implausible storage durations clearly"
ZA_CLEAN_017,Historical validation config,P2_CALIBRATION_EXPERIMENTS,Rebuild after baseline works,"Historical fit needs a separate mode from planning","Old configs mixed historical calibration with planning and policy","Dedicated validation config for historical year or sampled period","Baseline config; demand and validation tools","Validation config is labelled and does not replace baseline defaults"
ZA_CLEAN_018,EAF model integration,P2_CALIBRATION_EXPERIMENTS,Design after EAF inputs are validated,"Availability should affect dispatch or capacity only with clear mapping","Old integration was too entangled with solver experiments","Optional availability integration with documented carrier or unit mapping","Validated EAF data; solved baseline; carrier mapping","Dispatch impact is tested before planning runs use it"
ZA_CLEAN_019,Fixed national demand switch,P2_CALIBRATION_EXPERIMENTS,Rebuild only as validation option,"Can help historical matching against observed Eskom demand","Can hide problems in demand modelling if defaulted","Explicit validation-mode switch or input selection","Demand preprocessing output","Reports clearly when observed demand is imposed"
ZA_CLEAN_020,Fixed renewable generation switch,P2_CALIBRATION_EXPERIMENTS,Rebuild only as validation option,"Can isolate historical dispatch mismatch","Can overconstrain planning scenarios","Optional validation setting for observed renewable profiles","Observed renewable generation data","Planning baseline remains endogenous by default"
ZA_CLEAN_021,Fixed trade switch,P2_CALIBRATION_EXPERIMENTS,Rebuild only as validation option,"Historical imports and exports may be needed for validation","Can hide cross-border modelling assumptions","Optional validation setting for observed trade flows","Trade time series data","Reports clearly when trade is fixed from observations"
ZA_CLEAN_022,Hydro inflow calibration,P2_CALIBRATION_EXPERIMENTS,Review and rebuild only if justified,"Hydro representation may affect historical dispatch","Old rescaling assumptions need fresh unit validation","Scenario-local hydro calibration or validation utility","Hydro reference data; current upstream hydro handling","Hydro energy and units match reference assumptions"
ZA_CLEAN_023,Demand elasticity,P2_CALIBRATION_EXPERIMENTS,Defer until baseline and reliability design exist,"May matter for welfare or reliability-aware demand response","Old implementation was mixed with unrelated policy logic","Future economic module or scenario sensitivity","Elasticity assumptions; welfare interpretation","Elasticity appears only in clearly labelled sensitivity scenarios"
ZA_CLEAN_024,Reliability-index data contract,P2_CALIBRATION_EXPERIMENTS,Design after baseline validation,"This is the thesis-specific extension target","Old work did not yet provide the final clean integration","Schema for reliability index by spatial unit, time if relevant, and join keys","Reliability-index source data; model bus or region geometry","Reliability input can be validated independently before optimisation"
ZA_CLEAN_025,Reliability-index spatial allocation,P2_CALIBRATION_EXPERIMENTS,Rebuild from first principles,"Reliability-aware planning needs a defensible mapping to model zones","Old population allocation was FBE-specific","Spatial join or weighting tool producing bus or demand-zone reliability weights","Reliability-index schema; bus regions; administrative boundaries","Allocated values preserve documented totals or weighted averages"
ZA_CLEAN_026,Reliability-aware planning scenarios,P2_CALIBRATION_EXPERIMENTS,Design only after baseline validation,"Final thesis question concerns investment shifts under reliability awareness","Premature scenario design would rest on unvalidated baseline","Scenario pair comparing reliability-neutral and reliability-aware planning","Validated baseline; reliability-index integration","Investment differences are attributable to explicit reliability assumptions"
ZA_CLEAN_027,FBE policy scenario concept,P3_REFERENCE_ONLY,Do not rebuild now,"Shows how policy scenarios were once structured","The thesis baseline is not an FBE policy model","None for active model; retain only as historical lesson","None","No active config or workflow depends on FBE policy concepts"
ZA_CLEAN_028,FBE household eligibility and subsidy concepts,P3_REFERENCE_ONLY,Do not rebuild now,"May be useful background for policy analysis style","Would contaminate reliability baseline with class-project objective","None for active model","None","No household eligibility or subsidy variables appear in active code"
ZA_CLEAN_029,FBE bus population allocation artifact,P3_REFERENCE_ONLY,Keep only the general allocation lesson,"Spatial allocation is useful but FBE population fields are not thesis inputs","Old artifact encoded policy-specific allocation","Future reliability allocation should use its own schema","Reliability-index data; bus regions","No FBE-specific columns are reused"
ZA_CLEAN_030,Scenario sweep habit,P3_REFERENCE_ONLY,Rebuild later only as generic experiment management,"Systematic sweeps are useful once scenarios are stable","Old sweeps target obsolete policy cases","Future batch-run documentation or Snakemake profile","Stable baseline and scenario matrix","Sweeps are generated from clean scenario definitions"
ZA_CLEAN_031,Acceptance-check notebook idea,P3_REFERENCE_ONLY,Rebuild as new diagnostics if needed,"Acceptance checks help team review model realism","Old notebooks likely depend on local paths and outputs","New parameterized notebook or script consuming declared inputs","Solved network; validation outputs","Notebook runs without local hardcoded paths"
ZA_CLEAN_032,Topology comparison notebook idea,P3_REFERENCE_ONLY,Rebuild later if planning scenarios require it,"Topology diagnostics can explain investment changes","Old analysis was tied to FBE scenarios","New planning diagnostic notebook","Solved planning networks","Compares topology changes for current scenario names only"
ZA_CLEAN_033,System-realism diagnostics idea,P3_REFERENCE_ONLY,Rebuild as validation report,"Diagnostics are useful for model QA","Old diagnostic notebooks were not clean workflow assets","Generated validation report or reproducible notebook","Validation utilities and solved network","Outputs are reproducible from documented inputs"
ZA_CLEAN_034,Rendered class-project reports,P3_REFERENCE_ONLY,Do not rebuild,"Historical narrative only","Reports are outputs, not source-of-truth model design","None","None","No active workflow references old reports"
ZA_CLEAN_035,Wholesale global cost-table replacement,P4_DISCARD,Discard,"Global cost replacement is too broad for a clean fork","Cannot be audited or defended as a South Africa-specific change","None","None","Global upstream cost table remains untouched"
ZA_CLEAN_036,Global default weather-year change,P4_DISCARD,Discard,"Weather year is scenario-specific","Changing global defaults contaminates every model run","Use scenario config only if a year is needed","Weather data availability","Global default config remains upstream-aligned"
ZA_CLEAN_037,FBE load splitting in core code,P4_DISCARD,Discard,"Not part of reliability-aware South Africa baseline","Would reintroduce class-project policy logic into core model","None","None","No active core script contains FBE load-splitting logic"
ZA_CLEAN_038,FBE subsidy accounting in solver outputs,P4_DISCARD,Discard,"Subsidy reporting is outside thesis baseline","Would complicate optimisation outputs with obsolete policy objective","None","None","No active reports or solver outputs include FBE subsidy fields"
ZA_CLEAN_039,Temporary generated configs,P4_DISCARD,Discard,"Generated config fragments have no durable model meaning","They encode transient run state","None","None","No generated temporary configs are tracked as active inputs"
ZA_CLEAN_040,Scratch scripts and empty temp files,P4_DISCARD,Discard,"They do not encode stable modelling concepts","No reproducible purpose","None","None","No scratch or empty temp artifacts are rebuilt"
ZA_CLEAN_041,All-in-one experimental solver patch,P4_DISCARD,Discard,"Mixed patches make results impossible to attribute","Combined unrelated ideas like FBE, EAF, fixed demand, fixed trade and elasticity","Rebuild each justified concept separately","None","No future commit introduces unrelated modelling ideas together"
